OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,LotArea,BedroomAbvGr,SalePrice
5,1960,2,400,960,2,1952,1952,7596,4,124500
8,1911,2,471,777,2,1993,1994,9554,3,215000
6,1218,2,676,1218,2,2009,2009,7862,2,208300
7,1378,2,360,689,2,1928,2005,9600,3,161000
5,1041,1,270,1041,1,1959,1959,9600,3,124500
5,1363,1,288,1008,1,1951,2000,14559,2,164900
7,1368,2,474,1368,2,2005,2006,6792,2,202665
5,864,2,624,864,1,1958,1958,9100,3,129900
6,1080,2,484,1084,1,1983,1983,9187,3,134000
5,789,1,200,768,1,1926,1950,10594,2,96500
10,2020,3,900,2006,2,2009,2009,12220,3,402861
6,2119,2,583,689,2,1972,1972,10448,3,158000
7,2344,3,889,1264,2,1996,1997,10208,3,265000
6,1796,2,546,794,2,1998,1998,9531,3,211000
7,2080,1,282,1276,1,1926,2004,10918,3,234000
4,1294,0,0,0,2,1900,2000,10800,3,106250
6,1244,1,336,1244,1,1957,1957,11988,3,150000
6,1664,2,420,1004,2,1947,1950,5000,3,159000
10,4676,3,884,3138,3,2007,2008,40094,3,184750
7,2398,3,834,1379,2,1996,1997,11787,3,315750
7,1266,2,453,1257,2,2005,2005,7500,3,176000
5,928,1,252,928,1,1956,2000,13300,2,132000
9,2713,3,858,1452,2,2008,2008,14948,3,446261
4,605,0,0,528,1,1920,2002,9098,2,86000
6,2515,2,484,2035,3,1957,1975,32668,4,200624
6,1509,2,600,1461,2,1988,1989,10200,3,175000
6,1362,2,502,611,2,1920,1999,6155,3,128000
5,827,1,392,0,1,1955,2007,7200,2,107500
1,334,0,0,0,1,1946,1950,5000,1,39300
8,1414,2,403,707,2,2004,2004,9056,3,178000
5,1347,0,0,1117,1,1910,1991,7000,3,107500
7,1724,2,527,880,2,1998,1999,8924,3,188000
4,864,2,576,864,1,1972,1972,12735,3,111250
5,1159,1,336,1051,1,1968,1968,11553,3,158000
8,1601,2,670,1581,2,2001,2002,11423,3,272000
9,1838,3,765,1838,2,2006,2006,14601,2,315000
8,2285,3,648,969,2,2000,2000,11000,4,248000
7,1680,2,583,1650,2,1998,1999,10140,3,213250
7,767,1,367,723,1,1998,1998,4058,1,133000
7,1496,2,426,654,2,2006,2006,17104,3,179665
7,2183,3,786,1204,2,1988,1988,13837,4,229000
6,1635,2,440,1065,1,1923,1950,8737,3,210000
5,768,2,624,768,1,1970,1970,7244,2,129500
5,825,2,720,825,1,1955,1995,8235,2,125000
7,2094,2,615,912,2,2003,2004,9375,4,263000
6,1069,2,440,1069,2,1977,1977,4043,2,140000
5,928,1,288,928,1,1957,1957,6000,3,112500
8,1717,3,908,1709,2,2006,2006,11146,3,255500
4,1126,2,520,0,2,1949,2003,8777,2,108000
7,2046,3,871,998,2,2003,2004,10625,3,284000
5,1048,1,280,993,1,1922,1950,6380,2,113000
5,1092,1,299,1092,1,1957,1957,14850,2,141000
4,1336,1,570,637,1,1920,1950,11040,3,108000
7,1446,2,406,729,2,1996,1997,21872,3,175000
7,1557,2,420,1374,2,2003,2004,3196,2,234000
5,1392,2,528,1392,1,1957,1996,11341,3,121500
5,1389,2,418,1389,1,1974,1975,10010,2,170000
5,996,0,0,996,1,1940,1969,13907,3,108000
6,1674,2,396,1163,2,1918,1950,21780,4,185000
7,2295,2,590,1095,2,1992,2000,13346,4,268000
6,1647,1,216,806,1,1915,1950,6858,4,128000
9,2504,3,656,1122,2,2005,2007,11198,4,325000
7,1535,2,532,1517,2,2004,2004,10171,3,214000
8,2132,2,612,1496,1,1983,2009,12327,1,316600
5,943,2,600,943,1,1979,1979,7032,2,135960
5,1728,2,576,1728,2,1965,1965,13101,6,142600
6,864,1,288,864,1,1959,1959,7332,2,120000
7,1692,2,650,846,2,2009,2009,13159,3,224500
7,1430,2,400,384,2,2000,2000,9967,3,170000
5,1109,1,288,372,1,1971,2005,10500,3,139000
5,1216,1,336,832,1,1947,1950,8480,2,118500
7,1477,1,216,861,2,1928,1950,6292,3,145000
5,1320,2,564,1164,1,1966,1966,11777,3,164500
7,1392,2,540,689,2,2007,2007,3604,2,146000
5,1795,1,352,1050,2,1954,1954,12150,4,131500
6,1429,2,572,1144,1,1960,1987,14585,3,181900
8,2042,3,1390,2042,2,2008,2009,12704,3,253293
6,816,0,0,816,1,1990,1990,11841,3,118500
10,2775,2,880,1237,3,1893,2000,13500,3,325000
4,1573,1,240,884,1,1935,1995,6120,3,133000
8,2028,3,880,1868,2,2005,2006,11443,2,369900
6,838,1,275,816,1,1918,2000,10267,2,130000
5,860,2,528,840,1,1982,1982,8740,2,137000
5,1473,1,452,1437,1,1968,2003,25095,1,143000
5,935,1,308,742,1,1930,1960,9100,2,79500
7,1582,2,520,770,2,2004,2004,8320,3,185900
10,2296,3,842,1722,2,2008,2008,13478,3,451950
5,816,2,816,816,1,1982,2003,6600,2,138000
6,848,2,420,848,1,2003,2003,4435,1,140000
5,924,1,280,924,1,1975,1975,7990,3,110000
8,1826,3,758,1814,2,2005,2006,11302,3,319000
6,1368,1,216,684,1,1910,1993,3600,3,114504
7,1402,3,648,1258,0,2006,2007,3922,2,194201
5,1647,2,621,1430,2,1977,1977,12984,3,217500
6,1556,2,452,716,2,1980,1980,1950,3,151000
8,1904,2,736,1058,2,2005,2005,10927,3,275000
6,1375,1,544,780,1,1937,1950,9000,3,141000
8,1915,2,506,908,2,1992,1992,10041,3,220000
7,1200,2,480,600,2,2004,2005,3182,2,151000
7,1494,2,530,1494,2,2002,2002,12803,3,221000
7,1986,2,486,768,2,1965,1990,13600,3,205000
5,1040,2,576,1040,1,1996,1996,12464,3,152000
5,2008,1,230,896,3,1948,2002,7800,3,225000
8,3194,2,380,965,2,1934,1998,12168,4,359100
4,1029,1,261,1029,1,1961,1961,7943,3,118500
9,2153,3,736,1440,2,2000,2000,11050,3,313000
6,1032,2,564,1032,2,1978,1978,10395,3,148000
8,1872,2,531,1299,2,2001,2001,11885,3,261500
5,1120,0,0,1120,1,2007,2007,8402,3,147000
4,630,0,0,630,1,1972,1972,1491,1,75500
6,1054,2,480,936,1,1963,1963,8800,3,137500
6,1509,2,393,783,2,2002,2003,7861,3,183200
6,832,2,528,832,1,1954,1954,7227,2,105500
9,1828,3,774,1822,2,2007,2007,11694,3,314813
8,2262,3,749,1482,2,2003,2003,12244,4,305000
3,864,0,0,864,1,1914,1950,8248,2,67000
6,2614,2,624,1522,2,1974,1997,10800,4,240000
5,980,2,484,980,1,1977,1977,7064,3,135000
6,1512,2,440,756,2,2000,2000,2117,2,168500
6,1790,2,484,732,1,1972,1972,10400,4,165150
6,1116,2,440,1116,1,1962,1962,10000,3,160000
5,1422,1,286,978,1,1960,1978,12342,3,139900
6,1520,1,364,1156,1,1955,1972,9600,3,153000
5,2080,2,504,1040,1,1969,1969,11606,5,135000
6,1350,2,520,1248,1,1964,1964,9020,3,168500
5,1750,1,240,636,1,1880,1991,9000,3,124000
8,1554,2,627,1554,2,2006,2006,4590,2,209500
7,1411,2,544,1386,2,1977,1977,11900,3,82500
5,1056,1,260,1056,1,1954,2005,9250,3,139400
6,1056,2,576,1056,0,1980,1980,6979,0,144000
6,3395,0,0,1440,2,1914,1995,10896,8,200000
2,800,0,0,264,1,1936,1950,6120,1,60000
5,1387,1,256,811,2,1954,1954,6000,3,93000
5,796,0,0,796,1,1910,1950,8777,2,85000
8,1567,3,648,1520,2,2006,2006,3982,1,264561
8,1518,2,588,1518,1,2003,2004,12677,1,274000
7,1929,2,650,1057,2,2001,2001,7050,3,226000
8,2704,2,538,1952,2,1972,1995,13860,4,345000
5,1620,2,462,780,2,1969,1969,10793,4,152000
9,1766,3,478,1766,2,2009,2009,9187,2,370878
6,981,2,576,981,1,1971,1971,10530,3,143250
5,1048,2,420,0,1,1950,1950,7200,3,98300
6,1094,2,495,1094,1,1953,1953,10452,3,155000
6,1839,2,442,756,1,1966,1966,7700,4,155000
4,630,0,0,630,1,1970,1970,1936,1,84500
7,1665,2,562,813,2,2007,2007,8125,3,205950
4,1510,1,296,755,1,1940,1950,9084,4,108000
7,1716,2,512,880,2,1996,1996,8750,2,191000
6,1469,1,216,756,1,1906,1995,10320,3,135000
8,2113,3,839,2109,2,1995,1995,10437,2,350000
6,1092,1,264,525,1,1971,1971,1680,3,88000
5,1053,1,312,1053,1,1959,2006,10007,3,145500
7,1502,1,270,776,1,1931,2000,7200,3,149000
6,1458,1,330,912,1,1948,1950,17503,3,97500
5,1486,2,480,1486,1,1964,1999,9937,3,167000
7,1935,2,550,793,2,1976,1976,12384,3,197900
8,2448,3,711,1629,2,1994,2005,46589,4,402000
6,1392,2,576,1392,1,1968,1968,13560,2,110000
4,1181,2,588,1138,2,1972,1972,10012,3,137500
8,2097,3,1134,2077,1,2005,2006,20896,1,423000
8,1936,2,504,1406,2,2000,2000,11194,3,230500
6,2380,2,596,1021,2,1965,1979,18450,3,129000
6,1679,2,575,1408,2,1994,1998,8125,3,193500
5,1437,2,576,1188,1,1956,1987,14175,3,168000
4,1180,1,252,700,1,1922,1950,11600,2,137500
6,1476,2,540,738,2,2005,2005,8633,3,173500
6,1369,1,300,672,2,1925,1950,6629,3,103600
6,1208,2,546,1208,1,1977,1977,11250,3,165000
6,1839,2,416,1477,2,1957,2004,14442,3,257500
6,1136,1,384,1136,1,1965,1965,9200,3,140000
6,1441,2,440,855,2,1978,1978,2289,3,148500
4,1774,3,779,1095,2,1900,1950,9600,4,87000
5,792,1,240,768,1,1924,2006,9022,2,109500
8,2046,3,834,2046,2,2008,2008,11844,3,372500
5,988,2,572,988,1,1961,1961,9945,3,128500
6,923,1,264,923,2,1980,1980,8012,2,143000
5,1520,1,281,793,1,1932,2000,4500,3,159434
6,1291,2,431,1291,1,1996,1997,2887,2,173000
9,1668,3,702,1626,2,2002,2002,11248,3,285000
7,1839,2,486,1195,2,1998,1998,16770,4,221000
7,2090,2,577,1190,2,1984,1984,5062,3,207500
7,1761,2,578,874,3,2007,2007,10207,3,227875
7,1102,2,480,551,2,2004,2004,5105,2,148800
8,1419,2,567,1419,2,2007,2007,8089,2,392000
6,1362,2,460,1362,2,2005,2006,7577,2,194700
6,848,2,420,848,1,2004,2004,4426,1,141000
10,4316,3,832,2444,3,1994,1995,21535,4,755000
7,2519,2,628,1210,2,1989,1990,26178,4,335000
5,1073,1,326,1073,1,1921,1968,5400,2,108480
5,1539,2,576,927,1,1936,1950,6120,3,141500
6,1137,2,551,1112,2,1987,1987,13811,2,176000
5,616,1,205,616,1,1921,1950,6000,2,89000
5,1148,1,308,980,1,1952,1952,6420,2,123500
5,894,1,336,894,1,1965,2009,8450,3,138500
7,1391,2,530,1391,2,2004,2004,4282,2,196000
8,1800,3,765,1800,2,2002,2002,14331,3,312500
7,1164,2,528,1164,1,1969,1969,9600,3,140000
8,2576,3,666,1234,2,2006,2006,12438,4,361919
5,1812,2,672,360,2,1900,1996,7630,4,140000
7,1484,2,606,1473,2,2004,2005,8400,3,213000
4,1092,0,0,0,2,1930,1950,5600,3,55000
7,1824,2,739,1643,2,1971,2002,115149,2,302000
8,1324,2,550,1324,2,2006,2006,6240,2,254000
7,1456,2,400,728,2,2007,2007,9018,3,179540
5,904,1,408,876,1,1966,1966,7162,3,109900
3,729,0,0,270,1,1935,2003,4130,2,52000
4,1178,1,384,859,1,1900,1950,8712,2,102776
8,1228,2,472,1228,2,1988,1989,4671,2,189000
4,960,2,576,960,1,1970,1970,9873,3,129000
6,1479,2,475,725,2,1976,2005,13517,3,130500
6,1350,2,478,1064,2,1974,1974,10140,3,165000
7,2554,2,704,718,1,1890,1998,10800,3,159500
5,1178,2,439,1176,1,1973,2000,10000,3,157000
7,2418,3,983,1311,2,1993,1994,10542,3,341000
5,971,1,300,971,1,1969,1969,9920,3,128500
8,1742,2,564,1742,2,1985,1985,6563,2,275000
6,848,2,420,848,1,2004,2004,4426,1,143000
4,864,2,463,864,1,1970,1970,8120,3,124500
4,1470,1,548,941,2,1954,1972,8172,4,135000
9,1698,3,768,1698,2,2007,2008,13286,3,320000
4,864,2,660,864,1,1970,1970,6960,3,120500
6,1680,2,540,880,2,1988,2007,21695,3,222000
7,1232,2,632,1232,2,2007,2007,7314,2,194500
5,1776,3,888,1584,2,1958,1958,11475,4,110000
4,1208,2,539,780,1,1925,1950,6240,2,103000
8,1616,2,608,1595,2,1995,1996,5389,2,236500
7,1146,2,438,868,2,2003,2003,9590,3,187500
7,2031,2,541,1153,2,1998,1999,11404,3,222500
5,1144,1,264,864,1,1961,1983,10000,3,131400
5,948,1,300,948,1,1968,1968,8978,3,108000
7,1768,2,320,880,1,1914,1970,10800,2,163000
3,1040,2,400,0,2,1950,1950,8544,2,93500
8,1801,3,800,893,2,2005,2005,10463,3,239900
5,1200,0,0,1200,3,1987,1988,10800,3,179000
7,1728,2,572,864,2,2004,2004,9313,3,190000
5,1432,2,360,264,2,1910,2002,9600,2,132000
6,912,1,288,912,1,1961,1996,6768,3,142000
7,1349,2,539,1349,2,2000,2001,8450,3,179000
5,1464,2,480,520,2,1963,1999,12886,3,175000
8,1337,2,462,1337,2,1993,1993,5395,2,180000
8,2715,2,831,1142,3,1976,1996,8963,4,299800
7,2256,2,554,952,2,2000,2000,8795,4,236000
7,2640,4,864,1240,1,1880,2003,11700,4,265979
7,1720,2,527,1720,2,1996,1996,10593,3,260400
4,1529,1,240,0,2,1945,1950,8405,4,98000
4,1140,0,0,576,1,1910,2004,8800,3,96500
7,1320,2,400,660,2,2003,2003,7750,3,162000
6,1494,2,576,1479,2,1997,1997,9236,3,217000
8,2098,3,878,1030,2,2005,2005,10240,3,275500
6,1026,2,440,1026,1,1969,2005,7930,3,156000
6,1471,2,440,729,2,1999,1999,3230,3,172500
8,1768,2,578,866,2,2007,2007,10769,3,212000
6,1386,2,440,672,2,1978,1978,11616,3,158900
7,1501,2,440,744,2,1999,1999,2280,3,179400
8,2531,3,752,1318,2,1995,1995,12257,4,290000
6,864,1,300,864,1,1959,1959,9100,2,127500
5,1301,2,440,1145,1,1924,1950,6911,2,100000
7,1547,2,614,756,2,2009,2009,8640,3,215200
8,2365,3,856,1252,2,1999,1999,9430,3,337000
8,1494,2,481,1494,1,1995,1996,9549,2,270000
9,1506,2,592,1498,2,2008,2008,14587,2,264132
7,1714,2,496,980,2,1988,1988,10421,3,196500
6,1750,1,423,983,2,1940,1985,12508,4,160000
7,1836,2,484,1860,2,2004,2005,9100,3,216837
8,3279,3,841,1650,3,2003,2003,53504,4,538000
5,858,2,576,858,1,1982,1982,7252,2,134900
4,1220,2,396,836,1,1951,1951,8877,2,102000
6,1117,2,672,1029,1,1976,1976,7819,3,107000
5,912,1,275,912,1,1958,1958,10150,2,114500
8,1973,3,895,1935,2,2006,2006,14226,3,395000
6,1204,2,412,1204,2,1998,1998,4500,2,162000
7,1614,3,865,1614,2,2005,2006,11210,3,221500
5,894,2,440,864,1,1974,1974,13350,3,142500
5,2020,2,630,0,2,1977,1977,8400,4,144000
6,1004,2,504,975,1,1977,1977,10530,2,135000
7,1253,2,402,1237,2,1995,1996,7875,3,176000
6,1603,2,484,761,2,1992,1992,7153,3,175900
7,1430,2,605,1413,2,2001,2002,16285,3,187100
5,1110,2,602,1097,1,1978,1978,9101,1,165500
6,1484,0,0,742,2,1914,2001,6300,3,128000
6,1342,2,457,1372,2,1967,1967,9790,3,161500
5,1652,1,416,686,2,1915,1950,10800,4,139000
7,2084,2,618,956,2,2004,2004,10142,4,233000
4,901,1,281,901,1,1954,2000,6000,2,107900
6,2087,2,444,832,2,1966,2007,12205,5,187500
7,1145,2,397,1145,2,2005,2006,3182,2,160200
6,1062,2,539,1029,1,1976,1976,11333,3,146800
7,2013,2,455,1117,2,1996,1997,9920,3,269790
8,1496,2,474,1496,2,2007,2007,9158,3,225000
7,1895,2,409,712,2,1994,1996,10832,3,194500
6,1564,2,476,650,2,1980,1981,8400,3,171000
6,1285,2,528,660,1,1977,1977,8197,3,143500
5,773,1,240,773,1,1953,1953,7677,2,110000
9,3140,3,820,1926,3,2008,2009,13518,4,485000
5,1768,1,240,731,1,1937,1950,7200,3,175000
6,1688,2,603,616,2,1997,1997,12798,4,200000
4,1196,2,440,1196,1,1916,1990,4800,2,109900
7,1456,2,410,728,2,2005,2005,8199,3,189000
9,2822,3,1020,1734,3,2008,2009,13891,4,582933
5,1128,1,286,936,1,1954,1954,9000,2,118000
7,1428,2,554,1417,2,2008,2008,12274,3,227680
5,980,1,384,980,2,1967,1967,9750,3,135500
5,1576,2,528,1324,1,1923,2004,21384,3,223500
5,1086,2,484,1024,1,1966,1966,13400,3,159950
5,2138,2,360,849,2,1898,1965,8100,2,106000
6,1309,2,484,1040,1,1974,1999,10140,3,181000
6,848,2,420,848,1,2004,2004,4438,1,144500
5,1044,2,504,540,1,1952,1952,8712,2,55993
6,1442,1,301,1442,1,1958,1958,9750,4,157900
5,1250,1,280,686,1,1918,1950,8248,3,116000
7,1661,2,598,1649,2,1998,1998,12137,3,224900
5,1008,1,275,1008,1,1954,1954,11425,2,137000
8,1689,3,857,1568,2,2002,2002,13265,3,271000
6,1052,2,440,1010,1,1971,1971,8816,3,155000
7,1358,2,484,1358,2,2009,2010,6371,2,224000
7,1640,2,595,798,2,2003,2003,7226,3,183000
4,936,2,576,936,1,1953,1953,6000,2,93000
7,1733,2,433,847,2,2003,2003,12394,3,225000
6,1489,1,240,778,2,1940,1950,9900,3,139500
8,1489,2,776,1489,2,2006,2006,11216,3,232600
10,2084,3,1220,2078,2,2007,2008,14803,2,385000
5,784,0,0,784,1,1924,1950,6130,2,109500
7,1434,2,527,1454,2,2001,2001,8529,3,189000
5,2126,2,538,1013,2,1967,1967,28698,3,185000
7,1223,2,480,600,2,2005,2005,2544,2,147400
6,1392,2,458,1392,1,1957,1957,11900,3,166000
7,1200,2,480,600,2,2005,2005,3180,2,151000
7,1829,2,613,941,2,2003,2003,9548,3,237000
6,1516,2,472,1516,1,1964,1964,10004,3,167000
5,1144,2,456,1144,1,1961,1961,7875,3,139950
4,1067,2,436,1067,2,1950,1995,9600,2,128000
5,1559,2,812,1559,1,1948,1973,8100,2,153500
6,987,1,264,483,1,1973,1973,1680,2,100000
5,1099,1,352,1099,1,1995,2006,9525,3,144000
5,1200,1,240,768,1,1946,1995,11767,3,130500
6,1482,1,400,672,2,1925,1950,12155,4,140000
5,1539,2,686,650,2,1904,2002,10440,3,157500
6,1165,2,490,1127,1,1966,1966,9020,3,174900
5,1800,0,0,1800,2,1961,1961,8000,6,141000
5,1416,3,720,876,1,1915,1950,12665,4,153900
5,1701,2,611,1390,2,1975,1981,16647,3,171000
7,1775,2,425,740,2,1993,1993,9317,3,213000
5,864,1,338,864,1,1972,1972,15523,3,133500
6,2358,2,360,907,3,1908,1997,45600,5,240000
6,1855,2,512,528,2,1976,1994,9600,3,187000
6,848,2,420,848,1,2003,2003,4435,1,131500
8,1456,2,400,1273,2,2003,2003,3196,2,215000
7,1646,1,240,918,2,1941,1950,7128,4,164000
6,1445,2,645,1127,1,1964,1964,12095,3,158000
5,1779,2,454,1763,1,1955,1974,17920,3,170000
5,1040,1,260,1040,1,1962,2010,6897,3,127000
6,1026,2,576,940,1,1978,1978,10970,3,147000
6,1481,2,343,702,2,1994,1995,8125,3,174000
7,1370,2,479,1090,2,1976,1976,10400,3,152000
6,2654,2,619,1054,2,1968,1984,11029,4,250000
7,1426,1,216,912,1,1918,1998,7642,3,189950
5,1039,2,504,1039,1,1965,1965,11625,3,131500
6,1097,2,480,1040,2,1984,1985,9672,3,152000
5,1148,1,672,1148,1,1959,1959,7931,3,132500
7,1372,2,529,1372,2,2007,2008,8640,3,250580
5,1002,2,902,1002,1,1970,1970,8750,3,148500
8,1646,3,870,1638,2,2006,2007,10656,3,248900
4,1120,2,544,1040,1,1961,1961,6970,3,129000
5,2320,2,672,0,2,1948,1950,14762,2,169000
7,1949,2,574,1050,2,1993,1994,9938,3,236000
5,894,1,308,894,1,1962,1962,6600,2,109500
6,1682,2,523,804,2,1998,1998,8750,3,200500
5,910,2,414,105,1,1953,1996,8892,3,116000
5,1268,1,288,832,1,1949,1950,12144,3,133000
5,1131,1,200,676,1,1941,1950,5720,3,66500
8,2610,2,550,1184,2,2007,2007,9000,4,303477
4,1040,2,648,1064,1,1963,1963,25286,3,132250
9,2224,3,738,1462,2,2004,2005,8834,4,350000
5,1155,2,576,1109,1,1961,1995,11782,3,148000
5,864,1,336,864,1,1978,2005,7000,3,136500
5,1090,2,450,1090,1,2005,2006,7024,2,157000
7,1717,2,400,1156,2,1990,1991,13758,3,187500
6,1593,2,389,808,2,1992,1993,9636,3,178000
4,2230,1,440,795,1,1912,1950,6204,5,118500
5,892,1,288,892,1,1967,1967,7150,3,100000
9,1709,2,506,1698,2,1999,2000,5119,2,328900
5,1712,2,588,1626,2,1959,2005,8393,4,145000
5,1393,1,300,816,1,1955,1955,16466,3,135500
8,2217,2,621,2217,2,1970,1970,15865,4,268000
6,1505,2,505,1505,1,1953,1953,12160,2,149500
5,924,2,576,672,1,1949,2006,8064,3,122900
6,1683,2,440,918,2,1978,1978,11184,3,172500
6,1068,1,264,1059,1,1963,2003,8414,3,154500
5,1383,1,354,1383,1,1954,1954,13284,3,165000
5,1535,2,400,0,2,1979,1979,7018,4,118858
6,1796,2,483,780,1,1963,1963,7056,4,140000
4,951,1,327,951,1,1936,1950,8765,2,106500
5,2240,2,528,0,2,1979,1979,7018,6,142953
9,2364,3,820,2330,2,2009,2010,12919,2,611657
5,1236,1,288,912,1,1961,1994,6993,3,135000
4,858,1,684,858,1,1971,1971,7340,2,110000
5,1306,1,756,992,1,1957,2000,8712,2,153000
7,1509,2,393,783,2,2003,2003,7875,3,180000
7,1670,3,690,1670,2,2006,2006,14859,3,240000
5,902,1,288,876,1,1967,1967,6173,3,125500
5,1063,1,280,1056,1,1954,1954,9920,3,128000
8,1636,3,865,1623,2,2006,2006,13501,3,255000
7,2057,1,180,1017,1,1936,1987,11500,3,250000
5,902,2,484,864,1,1983,1983,8885,2,131000
6,1484,2,390,742,2,2005,2005,12589,3,174000
5,2274,2,480,1105,2,1960,1960,11600,5,154300
5,1268,1,252,1268,1,1977,1989,9286,3,143500
5,1015,1,450,768,1,1925,1950,6120,3,88000
5,2002,3,871,1001,2,1949,1950,6270,4,145000
6,1224,2,528,612,2,2009,2009,3000,2,173733
4,1092,1,286,546,1,1970,1970,2001,3,75000
2,480,1,308,480,0,1949,1950,9000,1,35311
4,1229,1,284,1134,1,1956,1956,17140,3,135000
7,2127,3,833,1104,2,1991,1991,13125,4,238000
6,1414,2,601,1184,1,1958,2002,11029,3,176500
6,1721,2,471,928,2,1994,1994,8462,3,201000
5,2200,0,0,1272,2,1900,2003,8777,4,145900
6,1316,2,397,1316,2,2005,2006,10237,3,169990
6,1617,2,533,1604,2,1993,1994,8012,2,193000
6,1686,2,612,1686,2,1980,1980,10240,3,207500
5,1126,2,540,1126,2,1977,1977,15611,3,175000
8,2374,3,656,1181,2,2003,2004,11999,4,285000
7,1978,2,486,832,2,1968,1968,9900,4,176000
8,1788,2,522,1753,2,2001,2001,11838,3,236500
7,2236,2,642,964,2,1997,1997,13006,4,222000
8,1466,3,610,1466,2,2007,2007,8925,3,201000
5,925,1,429,925,1,1965,1965,9100,2,117500
9,1905,3,788,1905,2,2006,2006,11670,3,320000
7,1500,2,570,1500,2,2004,2004,8487,3,190000
7,2069,2,505,585,2,1960,2007,27650,4,242000
4,747,2,528,600,1,1926,1953,5825,1,79900
7,1200,2,555,1176,2,2003,2003,10083,2,184900
7,1971,2,689,1113,2,2005,2005,9675,3,253000
7,1962,3,868,1391,2,2006,2006,8760,3,239799
7,2403,1,349,1032,2,1940,1950,24090,4,244400
6,1728,2,574,1728,2,1976,1976,12640,4,150900
7,2060,2,390,992,2,1999,1999,8755,3,214000
4,1440,0,0,1440,2,1977,1977,7711,4,150000
5,1632,2,576,1632,2,1967,1967,25000,4,143000
6,1344,2,525,819,1,1958,1958,14375,3,137500
5,1869,2,456,1088,1,1890,1996,8820,2,124900
5,1144,1,796,1144,1,1959,1959,8163,3,143000
8,1629,3,808,1616,2,2002,2003,14536,3,270000
7,1776,2,474,936,2,2002,2002,14006,3,192500
6,1381,2,676,1161,1,1972,2006,9360,3,197500
5,864,2,720,864,1,1950,2002,7200,3,129000
5,965,1,300,828,1,1965,1965,7800,3,119900
5,768,1,396,768,1,1972,2003,7200,2,133900
5,1968,2,530,784,2,1969,1969,11075,4,172000
6,980,0,0,945,2,1975,1975,9400,4,127500
6,1958,2,492,979,2,1946,1950,7136,4,145000
6,1229,2,462,561,1,1980,1980,1300,2,124000
5,1057,2,576,1057,1,1962,1962,7420,3,132000
7,1337,2,531,1337,2,2003,2003,8450,3,185000
7,1416,2,484,696,2,1999,1999,2572,3,155000
5,858,0,0,858,1,1958,2008,7207,2,116500
6,2872,2,619,1330,2,1977,1995,12227,4,272000
6,1548,2,440,804,2,1976,1976,2308,3,155000
9,1800,2,702,1800,2,2007,2007,11923,2,239000
7,1894,2,510,817,2,2002,2003,11316,4,214900
6,1484,2,393,783,2,2005,2007,10237,3,178900
5,1308,1,256,728,1,1940,1950,9600,2,160000
5,1098,1,260,1098,1,1955,1955,7390,3,135000
3,968,0,0,600,1,1910,1950,5925,2,37900
6,1095,1,264,588,1,1958,1958,10382,2,140000
4,1192,0,0,720,1,1949,1950,10800,4,135000
7,1626,2,474,764,2,2003,2004,2268,2,173000
6,918,1,264,918,2,1979,1979,7892,2,99500
7,1428,2,480,1428,2,2007,2008,11639,3,182000
7,2019,2,532,728,1,1910,1993,11414,3,167500
7,1382,2,490,673,2,2000,2000,2651,3,165000
4,869,0,0,440,1,1923,1958,5900,2,85500
7,1241,2,569,1241,1,2006,2007,4274,1,199900
4,894,2,400,894,1,1954,1954,9450,3,110000
5,1121,2,480,1121,1,1963,1963,8816,3,139000
7,999,2,588,944,1,1961,2007,12122,3,178400
8,2612,3,676,1225,2,1998,1999,12203,4,336000
7,1266,2,388,1266,2,2007,2007,3182,2,159895
8,2290,2,779,1128,2,2002,2002,11250,4,255900
5,1734,2,539,0,2,1977,1977,10125,4,126000
5,1164,1,240,1164,1,1950,1950,10880,3,125000
6,1635,1,255,485,1,1910,2003,5310,2,117000
9,1940,3,606,1930,2,2009,2010,10159,3,395192
6,2030,2,551,848,2,1976,1976,12046,4,195000
7,1576,2,614,770,2,2006,2006,8125,3,197000
8,2392,3,870,1396,2,1997,1998,9452,3,348000
8,1742,2,424,916,1,1882,1986,17671,4,168000
6,1851,2,440,822,2,1964,1993,9760,3,187000
6,1500,2,564,750,2,2005,2006,8846,3,173900
10,1718,3,786,1700,2,2006,2007,12456,3,337500
4,1230,1,305,747,1,1946,1950,4712,3,121600
5,1050,1,368,1050,1,1961,1961,10659,3,136500
6,1442,2,615,1442,2,1970,1970,11717,2,185000
3,1077,1,210,1007,1,1922,1950,9786,3,91000
7,1208,2,632,1187,2,2006,2006,6762,2,206000
3,944,2,528,0,1,1952,1952,10206,2,82000
5,691,1,216,691,1,1920,1950,5400,2,86000
8,1574,3,824,1574,2,2006,2006,11957,3,232000
5,1680,2,528,1680,2,1976,1976,11500,4,136905
7,1504,2,457,1346,2,2005,2006,3182,1,181000
5,985,1,328,985,2,1977,1977,8385,3,149900
6,1657,2,484,1657,2,1970,1970,12155,3,163500
4,1092,1,286,546,1,1970,1970,2217,3,88000
7,1710,2,550,1710,2,2004,2005,12118,3,240000
5,1522,0,0,1008,2,1926,1950,6000,4,102000
5,1271,1,312,720,2,1948,1950,21286,4,135000
5,1664,0,0,0,2,1965,1965,9825,4,100000
6,1502,1,180,602,1,1923,1996,10592,3,165000
5,1022,1,280,1022,1,1910,2006,7200,2,85000
